id,name,email,age,city,department,salary
100,Mahadev100,mahadev100@gmail.com,60,HYDRABAD,IT,50000
101,Shiv101,shiv101@gmail.com,65,CHENNAI,ADVISOR,2000
102,Sridhar102,sridhar102@gmail.com,35,CHENNAI,ADVISOR,2000
103,Sunil103,sunil103@gmail.com,20,PUNE,ADVISOR,45000
104,Prakash104,prakash104@gmail.com,65,DELHI,IT,45000
105,Prabhu105,prabhu105@gmail.com,65,MUMBAI,CONSULTING,4000
106,Krishna106,krishna106@gmail.com,60,DELHI,ADVISOR,17000
107,Kumar107,kumar107@gmail.com,30,CHENNAI,ADVISOR,15000
108,Bandu108,bandu108@gmail.com,49,DELHI,HR,17000
109,Kiran109,kiran109@gmail.com,65,MANGLORE,SALES,15000
110,Mahadev110,mahadev110@gmail.com,20,BANGLORE,ADVISOR,9000
111,Shiv111,shiv111@gmail.com,49,HYDRABAD,SALES,4000
112,Sridhar112,sridhar112@gmail.com,30,PUNE,HR,50000
113,Sunil113,sunil113@gmail.com,20,DELHI,IT,17000
114,Prakash114,prakash114@gmail.com,49,HYDRABAD,SALES,9000
115,Prabhu115,prabhu115@gmail.com,30,BANGLORE,ADVISOR,4000
116,Krishna116,krishna116@gmail.com,30,DELHI,IT,9000
117,Kumar117,kumar117@gmail.com,35,CHENNAI,IT,50000
118,Bandu118,bandu118@gmail.com,49,DELHI,HR,30000
119,Kiran119,kiran119@gmail.com,65,CHENNAI,IT,15000
120,Mahadev120,mahadev120@gmail.com,35,MUMBAI,CONSULTING,2000
121,Shiv121,shiv121@gmail.com,35,PUNE,SALES,15000
122,Sridhar122,sridhar122@gmail.com,60,PUNE,SALES,50000
123,Sunil123,sunil123@gmail.com,65,MANGLORE,HR,30000
124,Prakash124,prakash124@gmail.com,35,PUNE,ADVISOR,45000
125,Prabhu125,prabhu125@gmail.com,35,PUNE,IT,15000
126,Krishna126,krishna126@gmail.com,60,MUMBAI,IT,17000
127,Kumar127,kumar127@gmail.com,65,CHENNAI,IT,15000
128,Bandu128,bandu128@gmail.com,30,MUMBAI,HR,45000
129,Kiran129,kiran129@gmail.com,65,HYDRABAD,SALES,30000
